Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
[  1.0% |   412/~42342 | ✓409 | ✗  0] ✓ tests/agent/test_anthropic_oauth_ua_prefix.py (2✓, 2.0s)
[  1.0% |   417/~42342 | ✓414 | ✗  0] ✓ tests/agent/test_anthropic_request_blank_block_guard.py (5✓, 2.0s)
[  1.0% |   424/~42342 | ✓421 | ✗  0] ✓ tests/agent/test_anthropic_structured_output.py (7✓, 2.1s)
[  1.0% |   428/~42342 | ✓425 | ✗  0] ✓ tests/agent/test_anthropic_thinking_block_order.py (4✓, 2.0s)
[  1.0% |   439/~42342 | ✓436 | ✗  0] ✓ tests/agent/test_anthropic_spent_rotation_verdict.py (11✓, 2.3s)
[  1.1% |   445/~42342 | ✓442 | ✗  0] ✓ tests/agent/test_anthropic_token_scope_isolation.py (6✓, 2.0s)
[  1.1% |   459/~42342 | ✓468 | ✗  0] ✓ tests/agent/test_anthropic_thinking_disable.py (26✓, 2.4s)
[  1.1% |   466/~42342 | ✓478 | ✗  0] ✓ tests/agent/test_anthropic_whitespace_text_blocks.py (10✓, 2.1s)
[  1.1% |   472/~42342 | ✓484 | ✗  0] ✓ tests/agent/test_anthropic_request_client_reuse.py (6✓, 3.6s)
[  1.1% |   474/~42342 | ✓486 | ✗  0] ✓ tests/agent/test_async_utils.py (2✓, 1.9s)
[  1.1% |   483/~42342 | ✓515 | ✗  0] ✓ tests/agent/test_arcee_trinity_overrides.py (29✓, 2.6s)
[  1.2% |   496/~42342 | ✓528 | ✗  0] ✓ tests/agent/test_aux_affordable_402_retry.py (13✓, 2.4s)
[  1.2% |   507/~42342 | ✓539 | ✗  0] ✓ tests/agent/test_aux_stream_host_deadline.py (11✓, 2.2s)
[  1.2% |   510/~42342 | ✓542 | ✗  0] ✓ tests/agent/test_auxiliary_anthropic_pool_fallback_regression.py (3✓, 1.9s)
[  1.2% |   515/~42342 | ✓547 | ✗  0] ✓ tests/agent/test_aux_stream_host_deadline_sibling_wires.py (5✓, 2.7s)
[  1.3% |   544/~42342 | ✓598 | ✗  0] ✓ tests/agent/test_aux_progress_streaming.py (51✓, 3.6s)
[  1.3% |   547/~42342 | ✓601 | ✗  0] ✓ tests/agent/test_auxiliary_client_anthropic_custom.py (3✓, 2.5s)
[  1.3% |   554/~42342 | ✓608 | ✗  0] ✓ tests/agent/test_auxiliary_client_azure_foundry.py (7✓, 2.6s)
[  1.3% |   556/~42342 | ✓610 | ✗  0] ✓ tests/agent/test_auxiliary_client_bootstrap_skew.py (2✓, 2.0s)
[  1.3% |   563/~42342 | ✓617 | ✗  0] ✓ tests/agent/test_auxiliary_client_base_url_host_validation_52608.py (7✓, 2.1s)
[  1.3% |   565/~42342 | ✓619 | ✗  0] ✓ tests/agent/test_auxiliary_client_nous_401_cache_key.py (2✓, 3.1s)
[  1.3% |   567/~42342 | ✓621 | ✗  0] ✓ tests/agent/test_auxiliary_client_proxy_env.py (2✓, 2.1s)
[  1.3% |   569/~42342 | ✓623 | ✗  0] ✓ tests/agent/test_auxiliary_client_ssl_verify.py (2✓, 2.0s)
[  1.4% |   578/~42342 | ✓632 | ✗  0] ✓ tests/agent/test_auxiliary_client_xai_oauth_recovery.py (9✓, 1.9s)
[  1.4% |   583/~42342 | ✓637 | ✗  0] ✓ tests/agent/test_auxiliary_client_resolve_dedup.py (5✓, 2.2s)
[  1.4% |   594/~42342 | ✓648 | ✗  0] ✓ tests/agent/test_auxiliary_config_bridge.py (11✓, 2.5s)
[  1.4% |   599/~42342 | ✓653 | ✗  0] ✓ tests/agent/test_auxiliary_compression_timeout_floor.py (5✓, 3.1s)
[  1.4% |   603/~42342 | ✓657 | ✗  0] ✓ tests/agent/test_auxiliary_explicit_base_anthropic.py (4✓, 2.6s)
[  1.5% |   615/~42342 | ✓670 | ✗  0] ✓ tests/agent/test_auxiliary_explicit_cancellation.py (13✓, 2.7s)
[  1.5% |   633/~42342 | ✓688 | ✗  0] ✓ tests/agent/test_auxiliary_concurrency.py (18✓, 3.7s)
[  1.5% |   648/~42342 | ✓703 | ✗  0] ✓ tests/agent/test_async_token_accounting.py (15✓, 11.7s)
[  1.5% |   653/~42342 | ✓708 | ✗  0] ✓ tests/agent/test_auxiliary_openrouter_max_tokens.py (5✓, 2.2s)
[  1.6% |   658/~42342 | ✓713 | ✗  0] ✓ tests/agent/test_auxiliary_runtime_cache_key.py (5✓, 1.9s)
[  1.6% |   660/~42342 | ✓715 | ✗  0] ✓ tests/agent/test_auxiliary_transient_retry.py (2✓, 1.8s)
[  1.6% |   667/~42342 | ✓722 | ✗  0] ✓ tests/agent/test_auxiliary_relay.py (7✓, 2.9s)
[  1.6% |   684/~42342 | ✓739 | ✗  0] ✓ tests/agent/test_auxiliary_main_first.py (17✓, 4.1s)
[  1.6% |   689/~42342 | ✓744 | ✗  0] ✓ tests/agent/test_auxiliary_user_default_headers.py (5✓, 2.2s)
[  1.7% |   701/~42342 | ✓756 | ✗  0] ✓ tests/agent/test_backend_identity.py (12✓, 2.1s)
[  1.7% |   721/~42342 | ✓776 | ✗  0] ✓ tests/agent/test_auxiliary_named_custom_providers.py (20✓, 5.3s)
[  1.7% |   724/~42342 | ✓792 | ✗  0] ✓ tests/agent/test_auxiliary_transport_autodetect.py (16✓, 3.2s)
[  1.8% |   743/~42342 | ✓811 | ✗  0] ✓ tests/agent/test_azure_identity_adapter.py (19✓, 2.4s)
[  1.8% |   745/~42342 | ✓813 | ✗  0] ✓ tests/agent/test_bedrock_1m_context.py (2✓, 1.9s)
[  1.8% |   748/~42342 | ✓824 | ✗  0] ✓ tests/agent/test_battery.py (11✓, 2.0s)
[  1.8% |   753/~42342 | ✓829 | ✗  0] ✓ tests/agent/test_background_review_tool_call_guard.py (5✓, 3.4s)
[  1.8% |   756/~42342 | ✓832 | ✗  0] ✓ tests/agent/test_bedrock_empty_text_blocks.py (3✓, 2.0s)
[  1.8% |   783/~42342 | ✓859 | ✗  0] ✓ tests/agent/test_api_content_sidecar.py (27✓, 18.6s)
[  2.3% |   959/~42342 | ✓1051 | ✗   0] ✓ tests/agent/test_auxiliary_client.py (192✓, 16.2s)
[  2.3% |   969/~42342 | ✓1061 | ✗   0] ✓ tests/agent/test_background_review_usage.py (10✓, 3.5s)
[  2.3% |   970/~42342 | ✓1063 | ✗   0] ✓ tests/agent/test_bedrock_transport_replay.py (2✓, 2.1s)
[  2.3% |   973/~42342 | ✓1066 | ✗   0] ✓ tests/agent/test_billing_links.py (3✓, 2.0s)
[  2.3% |   975/~42342 | ✓1068 | ✗   0] ✓ tests/agent/test_bedrock_interrupt_post_worker.py (2✓, 2.3s)
[  2.5% |  1053/~42342 | ✓1146 | ✗   0] ✓ tests/agent/test_bedrock_adapter.py (78✓, 4.3s)
[  2.5% |  1056/~42342 | ✓1154 | ✗   0] ✓ tests/agent/test_billing_usage.py (8✓, 1.9s)
[  2.5% |  1068/~42342 | ✓1180 | ✗   0] ✓ tests/agent/test_billing_view.py (26✓, 2.5s)
[  2.5% |  1074/~42342 | ✓1186 | ✗   0] ✓ tests/agent/test_bot_profile_prompt_isolation.py (6✓, 2.0s)
[  2.6% |  1082/~42342 | ✓1194 | ✗   0] ✓ tests/agent/test_budget_reasoning_details_exclusion.py (8✓, 2.0s)
[  2.6% |  1088/~42342 | ✓1200 | ✗   0] ✓ tests/agent/test_billing_unverified_carrythrough.py (6✓, 4.0s)
[  2.6% |  1089/~42342 | ✓1201 | ✗   0] ✓ tests/agent/test_bounded_response.py (1✓, 2.5s)
[  2.7% |  1124/~42342 | ✓1236 | ✗   0] ✓ tests/agent/test_bedrock_integration.py (35✓, 4.8s)
[  2.7% |  1137/~42342 | ✓1249 | ✗   0] ✓ tests/agent/test_cache_disabled_on_stubs.py (13✓, 2.2s)
[  2.7% |  1156/~42342 | ✓1268 | ✗   0] ✓ tests/agent/test_builtin_memory_disabled_surface.py (19✓, 3.5s)
